system   D            wsystem.c:583  maybe_parent_dir                 [   0.00066] Also searching C:\Users\f.gavioli\Desktop\ProgettoQuinta\ThreadTest\
display  D   display_settings.c:191  debug_display_settings           [   0.02580] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02581] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02582] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02583] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02584] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02585] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02586] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02588] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02588] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02590] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02591] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02592] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02593] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02594] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02595] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02596] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02597] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02598] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02599] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02600] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02601] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02603] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02603] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02605] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02606] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02607] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02608] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02609] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02610] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02611] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02612] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02613] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02614] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02615] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.02616] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02617] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02618] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02619] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02620] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02621] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.02622] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02623] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02624] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02626] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02626] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02628] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.02629] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02630] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02633] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02634] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02635] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02636] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.02637] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02638] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02639] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02640] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02641] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02643] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.02643] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02645] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02646] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02647] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02648] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02649] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.02650] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02651] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02652] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02653] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02654] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02655] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.02656] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02657] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02658] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.02659] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.02660] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.02661] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.02662] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02663] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02664] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02665] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02666] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02669] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02671] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02672] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02673] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02674] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02675] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02676] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02677] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02678] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02679] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02680] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02681] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02682] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02683] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02684] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02685] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02687] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02687] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02689] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02690] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02691] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02692] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02693] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02694] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02695] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02696] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02697] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02698] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02699] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02700] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02701] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02702] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02704] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02705] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02706] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02707] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02708] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02712] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02715] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02716] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.02717] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.02718] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.02719] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1645 d3d_create_display_internals     [   0.02722] Trying format 0.
d3d      I         d3d_disp.cpp:1326 d3d_display_thread_proc          [   0.02782] Chose a display format: 23
d3d      I         d3d_disp.cpp:1395 d3d_display_thread_proc          [   0.02785] Normal window.
d3d      I         d3d_disp.cpp:801  d3d_create_device                [   0.03592] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:866  d3d_create_device                [   0.05633] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:874  d3d_create_device                [   0.05638] Success
d3d      D         d3d_disp.cpp:1668 d3d_create_display_internals     [   0.05646] Resumed after wait.
d3d      I         d3d_disp.cpp:1701 d3d_create_display_internals     [   0.05650] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1724 d3d_create_display_internals     [   0.05652] Returning d3d_display: 00A068C8
d3d      D         d3d_disp.cpp:1749 d3d_create_display_locked        [   0.05654] al_display=00A068C8
d3d      D         d3d_disp.cpp:1750 d3d_create_display_locked        [   0.05656] al_display->vt=00A06800
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05784] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05787] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05789] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05790] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05791] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05793] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05794] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05795] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.05797] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.05798] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.05800] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.05802] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.05804] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.05821] added dtor for object 00A65050, func 5D0D2595
dtor     D               dtor.c:184  _al_register_destructor          [   0.05825] added dtor for object 00A67768, func 5D0D27A7
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.06300] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.06304] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   4.19394] removed dtor for object 00A65050
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   4.19401] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [   4.19805] removed dtor for object 00A06680
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [   4.19809] destroying display 00A068C8 (current 00000000)
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [   4.19811] waiting for display 00A068C8's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [   4.20400] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [   4.21734] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [   4.21849] removed dtor for object 00A67768
